adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN125151,Ariana,Ariana Médina,La Nouvelle Ariana,5,2,40.0,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN125152,Ariana,Ariana Médina,Ariana Superieur,14,5,35.7,3,60.0,23.1,88.2,3,60.0,3,0,0,3,0,0,60.0,0.0,0.0,0
TN125153,Ariana,Ariana Médina,L'Ariana Ville,10,2,20.0,2,100.0,34.2,100.0,4,200.0,4,0,0,2,0,0,100.0,0.0,0.0,0
TN125154,Ariana,Ariana Médina,El Menzah V,7,1,14.3,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN125155,Ariana,Ariana Médina,El Menzah VI,9,3,33.3,3,100.0,43.8,100.0,3,100.0,3,0,0,3,0,0,100.0,0.0,0.0,0
TN125156,Ariana,Ariana Médina,Etaamir,7,4,57.1,2,50.0,15.0,85.0,2,50.0,2,0,0,2,0,0,50.0,0.0,0.0,0
TN125157,Ariana,Ariana Médina,El Yasmina,16,5,31.2,5,100.0,56.6,100.0,5,100.0,5,0,0,5,0,0,100.0,0.0,0.0,0
TN125158,Ariana,Ariana Médina,Ennasr 1,9,4,44.4,1,25.0,4.6,69.9,1,25.0,1,0,0,1,0,0,25.0,0.0,0.0,0
TN125159,Ariana,Ariana Médina,Ennasr 2,18,6,33.3,4,66.7,30.0,90.3,5,83.3,5,0,0,4,0,0,66.7,0.0,0.0,0
TN125251,Ariana,Soukra,Soukra,17,7,41.2,1,14.3,2.6,51.3,1,14.3,1,0,0,1,0,0,14.3,0.0,0.0,0
TN125252,Ariana,Soukra,Dar Fadhal,12,6,50.0,3,50.0,18.8,81.2,3,50.0,3,0,0,3,0,0,50.0,0.0,0.0,0
TN125253,Ariana,Soukra,El Bessatine,5,2,40.0,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN125254,Ariana,Soukra,Chotrana,8,4,50.0,1,25.0,4.6,69.9,1,25.0,1,0,0,1,0,0,25.0,0.0,0.0,0
